t = 0.14 ; Y = ((100,99.904,0),(0,-1.372,0))
t = 0.140128 ; Y = ((100,99.9038,0),(0,-1.37325,0))
t = 0.140243 ; Y = ((100,99.9036,0),(0,-1.37438,0))
t = 0.140347 ; Y = ((100,99.9035,0),(0,-1.3754,0))
t = 0.14044 ; Y = ((100,99.9034,0),(0,-1.37631,0))
t = 0.140524 ; Y = ((100,99.9032,0),(0,-1.37713,0))
t = 0.140599 ; Y = ((100,99.9031,0),(0,-1.37787,0))
t = 0.140667 ; Y = ((100,99.903,0),(0,-1.37854,0))
t = 0.140729 ; Y = ((100,99.903,0),(0,-1.37914,0))
t = 0.140784 ; Y = ((100,99.9029,0),(0,-1.37968,0))
t = 0.140833 ; Y = ((100,99.9028,0),(0,-1.38017,0))
t = 0.140878 ; Y = ((100,99.9028,0),(0,-1.3806,0))
t = 0.140918 ; Y = ((100,99.9027,0),(0,-1.381,0))
t = 0.140954 ; Y = ((100,99.9026,0),(0,-1.38135,0))
t = 0.140987 ; Y = ((100,99.9026,0),(0,-1.38167,0))
t = 0.141016 ; Y = ((100,99.9026,0),(0,-1.38196,0))
t = 0.141042 ; Y = ((100,99.9025,0),(0,-1.38222,0))
t = 0.141066 ; Y = ((100,99.9025,0),(0,-1.38245,0))
t = 0.141087 ; Y = ((100,99.9025,0),(0,-1.38266,0))
t = 0.141107 ; Y = ((100,99.9024,0),(0,-1.38284,0))
t = 0.141124 ; Y = ((100,99.9024,0),(0,-1.38301,0))
t = 0.141139 ; Y = ((100,99.9024,0),(0,-1.38317,0))
t = 0.141153 ; Y = ((100,99.9024,0),(0,-1.3833,0))
t = 0.141166 ; Y = ((100,99.9024,0),(0,-1.38343,0))
t = 0.141177 ; Y = ((100,99.9023,0),(0,-1.38354,0))
t = 0.141188 ; Y = ((100,99.9023,0),(0,-1.38364,0))
t = 0.141197 ; Y = ((100,99.9023,0),(0,-1.38373,0))
t = 0.141205 ; Y = ((100,99.9023,0),(0,-1.38381,0))
t = 0.141213 ; Y = ((100,99.9023,0),(0,-1.38388,0))
t = 0.141219 ; Y = ((100,99.9023,0),(0,-1.38395,0))
t = 0.141225 ; Y = ((100,99.9023,0),(0,-1.38401,0))
t = 0.141231 ; Y = ((100,99.9023,0),(0,-1.38406,0))
t = 0.141236 ; Y = ((100,99.9023,0),(0,-1.38411,0))
t = 0.14124 ; Y = ((100,99.9023,0),(0,-1.38415,0))
t = 0.141244 ; Y = ((100,99.9022,0),(0,-1.38419,0))
t = 0.141247 ; Y = ((100,99.9022,0),(0,-1.38422,0))
t = 0.141251 ; Y = ((100,99.9022,0),(0,-1.38426,0))
t = 0.141254 ; Y = ((100,99.9022,0),(0,-1.38428,0))
t = 0.141256 ; Y = ((100,99.9022,0),(0,-1.38431,0))
t = 0.141258 ; Y = ((100,99.9022,0),(0,-1.38433,0))
t = 0.141261 ; Y = ((100,99.9022,0),(0,-1.38435,0))
t = 0.141262 ; Y = ((100,99.9022,0),(0,-1.38437,0))
t = 0.141264 ; Y = ((100,99.9022,0),(0,-1.38439,0))
t = 0.141266 ; Y = ((100,99.9022,0),(0,-1.3844,0))
t = 0.141267 ; Y = ((100,99.9022,0),(0,-1.38442,0))
t = 0.141268 ; Y = ((100,99.9022,0),(0,-1.38443,0))
t = 0.141269 ; Y = ((100,99.9022,0),(0,-1.38444,0))
t = 0.14127 ; Y = ((100,99.9022,0),(0,-1.38445,0))
t = 0.141271 ; Y = ((100,99.9022,0),(0,-1.38446,0))
t = 0.141272 ; Y = ((100,99.9022,0),(0,-1.38447,0))
t = 0.141273 ; Y = ((100,99.9022,0),(0,-1.38448,0))
t = 0.141274 ; Y = ((100,99.9022,0),(0,-1.38449,0))
t = 0.141275 ; Y = ((100,99.9022,0),(0,-1.3845,0))
t = 0.141276 ; Y = ((100,99.9022,0),(0,-1.38451,0))
t = 0.141277 ; Y = ((100,99.9022,0),(0,-1.38452,0))
t = 0.141278 ; Y = ((100,99.9022,0),(0,-1.38453,0))
t = 0.141279 ; Y = ((100,99.9022,0),(0,-1.38454,0))
t = 0.14128 ; Y = ((100,99.9022,0),(0,-1.38455,0))
t = 0.141281 ; Y = ((100,99.9022,0),(0,-1.38456,0))
t = 0.141282 ; Y = ((100,99.9022,0),(0,-1.38457,0))
t = 0.141283 ; Y = ((100,99.9022,0),(0,-1.38458,0))
t = 0.141284 ; Y = ((100,99.9022,0),(0,-1.38459,0))
