t = 0 ; Y = ((1,0,0),(0,1,0))
t = 0.001 ; Y = ((1,0.001,0),(-0.001,1,0))
t = 0.002 ; Y = ((0.999998,0.002,0),(-0.002,0.999998,0))
t = 0.003 ; Y = ((0.999996,0.003,0),(-0.003,0.999996,0))
t = 0.004 ; Y = ((0.999992,0.00399999,0),(-0.00399999,0.999992,0))
t = 0.005 ; Y = ((0.999988,0.00499998,0),(-0.00499998,0.999988,0))
t = 0.006 ; Y = ((0.999982,0.00599996,0),(-0.00599996,0.999982,0))
t = 0.007 ; Y = ((0.999976,0.00699994,0),(-0.00699994,0.999976,0))
t = 0.008 ; Y = ((0.999968,0.00799991,0),(-0.00799991,0.999968,0))
t = 0.009 ; Y = ((0.99996,0.00899988,0),(-0.00899988,0.99996,0))
t = 0.01 ; Y = ((0.99995,0.00999983,0),(-0.00999983,0.99995,0))
t = 0.011 ; Y = ((0.99994,0.0109998,0),(-0.0109998,0.99994,0))
t = 0.012 ; Y = ((0.999928,0.0119997,0),(-0.0119997,0.999928,0))
t = 0.013 ; Y = ((0.999916,0.0129996,0),(-0.0129996,0.999916,0))
t = 0.014 ; Y = ((0.999902,0.0139995,0),(-0.0139995,0.999902,0))
t = 0.015 ; Y = ((0.999888,0.0149994,0),(-0.0149994,0.999888,0))
t = 0.016 ; Y = ((0.999872,0.0159993,0),(-0.0159993,0.999872,0))
t = 0.017 ; Y = ((0.999856,0.0169992,0),(-0.0169992,0.999856,0))
t = 0.018 ; Y = ((0.999838,0.017999,0),(-0.017999,0.999838,0))
t = 0.019 ; Y = ((0.99982,0.0189989,0),(-0.0189989,0.99982,0))
t = 0.02 ; Y = ((0.9998,0.0199987,0),(-0.0199987,0.9998,0))
t = 0.021 ; Y = ((0.99978,0.0209985,0),(-0.0209985,0.99978,0))
t = 0.022 ; Y = ((0.999758,0.0219982,0),(-0.0219982,0.999758,0))
t = 0.023 ; Y = ((0.999736,0.022998,0),(-0.022998,0.999736,0))
t = 0.024 ; Y = ((0.999712,0.0239977,0),(-0.0239977,0.999712,0))
t = 0.025 ; Y = ((0.999688,0.0249974,0),(-0.0249974,0.999688,0))
t = 0.026 ; Y = ((0.999662,0.0259971,0),(-0.0259971,0.999662,0))
t = 0.027 ; Y = ((0.999636,0.0269967,0),(-0.0269967,0.999636,0))
t = 0.028 ; Y = ((0.999608,0.0279963,0),(-0.0279963,0.999608,0))
t = 0.029 ; Y = ((0.99958,0.0289959,0),(-0.0289959,0.99958,0))
t = 0.03 ; Y = ((0.99955,0.0299955,0),(-0.0299955,0.99955,0))
t = 0.031 ; Y = ((0.99952,0.030995,0),(-0.030995,0.99952,0))
t = 0.032 ; Y = ((0.999488,0.0319945,0),(-0.0319945,0.999488,0))
t = 0.033 ; Y = ((0.999456,0.032994,0),(-0.032994,0.999456,0))
t = 0.034 ; Y = ((0.999422,0.0339934,0),(-0.0339934,0.999422,0))
t = 0.035 ; Y = ((0.999388,0.0349929,0),(-0.0349929,0.999388,0))
t = 0.036 ; Y = ((0.999352,0.0359922,0),(-0.0359922,0.999352,0))
t = 0.037 ; Y = ((0.999316,0.0369916,0),(-0.0369916,0.999316,0))
t = 0.038 ; Y = ((0.999278,0.0379909,0),(-0.0379909,0.999278,0))
t = 0.039 ; Y = ((0.99924,0.0389901,0),(-0.0389901,0.99924,0))
t = 0.04 ; Y = ((0.9992,0.0399893,0),(-0.0399893,0.9992,0))
t = 0.041 ; Y = ((0.99916,0.0409885,0),(-0.0409885,0.99916,0))
t = 0.042 ; Y = ((0.999118,0.0419877,0),(-0.0419877,0.999118,0))
t = 0.043 ; Y = ((0.999076,0.0429868,0),(-0.0429868,0.999076,0))
t = 0.044 ; Y = ((0.999032,0.0439858,0),(-0.0439858,0.999032,0))
t = 0.045 ; Y = ((0.998988,0.0449848,0),(-0.0449848,0.998988,0))
t = 0.046 ; Y = ((0.998942,0.0459838,0),(-0.0459838,0.998942,0))
t = 0.047 ; Y = ((0.998896,0.0469827,0),(-0.0469827,0.998896,0))
t = 0.048 ; Y = ((0.998848,0.0479816,0),(-0.0479816,0.998848,0))
t = 0.049 ; Y = ((0.9988,0.0489804,0),(-0.0489804,0.9988,0))
t = 0.05 ; Y = ((0.99875,0.0499792,0),(-0.0499792,0.99875,0))
t = 0.051 ; Y = ((0.9987,0.0509779,0),(-0.0509779,0.9987,0))
t = 0.052 ; Y = ((0.998648,0.0519766,0),(-0.0519766,0.998648,0))
t = 0.053 ; Y = ((0.998596,0.0529752,0),(-0.0529752,0.998596,0))
t = 0.054 ; Y = ((0.998542,0.0539738,0),(-0.0539738,0.998542,0))
t = 0.055 ; Y = ((0.998488,0.0549723,0),(-0.0549723,0.998488,0))
