t = 0 ; Y = ((12,0,0),(0,0,0))
t = 0.001 ; Y = ((12,0,0),(-0.0191666,0,0))
t = 0.002 ; Y = ((12,0,0),(-0.0381664,0,0))
t = 0.003 ; Y = ((11.9999,0,0),(-0.0571658,0,0))
t = 0.004 ; Y = ((11.9998,0,0),(-0.0761646,0,0))
t = 0.005 ; Y = ((11.9998,0,0),(-0.0951627,0,0))
t = 0.006 ; Y = ((11.9997,0,0),(-0.11416,0,0))
t = 0.007 ; Y = ((11.9995,0,0),(-0.133156,0,0))
t = 0.008 ; Y = ((11.9994,0,0),(-0.15215,0,0))
t = 0.009 ; Y = ((11.9992,0,0),(-0.171144,0,0))
t = 0.01 ; Y = ((11.999,0,0),(-0.190135,0,0))
t = 0.011 ; Y = ((11.9988,0,0),(-0.209124,0,0))
t = 0.012 ; Y = ((11.9986,0,0),(-0.228112,0,0))
t = 0.013 ; Y = ((11.9984,0,0),(-0.247097,0,0))
t = 0.014 ; Y = ((11.9981,0,0),(-0.26608,0,0))
t = 0.015 ; Y = ((11.9979,0,0),(-0.28506,0,0))
t = 0.016 ; Y = ((11.9976,0,0),(-0.304037,0,0))
t = 0.017 ; Y = ((11.9973,0,0),(-0.323011,0,0))
t = 0.018 ; Y = ((11.9969,0,0),(-0.341982,0,0))
t = 0.019 ; Y = ((11.9966,0,0),(-0.360949,0,0))
t = 0.02 ; Y = ((11.9962,0,0),(-0.379913,0,0))
t = 0.021 ; Y = ((11.9958,0,0),(-0.398873,0,0))
t = 0.022 ; Y = ((11.9954,0,0),(-0.417829,0,0))
t = 0.023 ; Y = ((11.995,0,0),(-0.436781,0,0))
t = 0.024 ; Y = ((11.9945,0,0),(-0.455729,0,0))
t = 0.025 ; Y = ((11.9941,0,0),(-0.474672,0,0))
t = 0.026 ; Y = ((11.9936,0,0),(-0.49361,0,0))
t = 0.027 ; Y = ((11.9931,0,0),(-0.512543,0,0))
t = 0.028 ; Y = ((11.9926,0,0),(-0.531471,0,0))
t = 0.029 ; Y = ((11.992,0,0),(-0.550394,0,0))
t = 0.03 ; Y = ((11.9915,0,0),(-0.569311,0,0))
t = 0.031 ; Y = ((11.9909,0,0),(-0.588223,0,0))
t = 0.032 ; Y = ((11.9903,0,0),(-0.607129,0,0))
t = 0.033 ; Y = ((11.9897,0,0),(-0.626028,0,0))
t = 0.034 ; Y = ((11.989,0,0),(-0.644922,0,0))
t = 0.035 ; Y = ((11.9884,0,0),(-0.663809,0,0))
t = 0.036 ; Y = ((11.9877,0,0),(-0.682689,0,0))
t = 0.037 ; Y = ((11.987,0,0),(-0.701563,0,0))
t = 0.038 ; Y = ((11.9863,0,0),(-0.720429,0,0))
t = 0.039 ; Y = ((11.9856,0,0),(-0.739288,0,0))
t = 0.04 ; Y = ((11.9848,0,0),(-0.75814,0,0))
t = 0.041 ; Y = ((11.984,0,0),(-0.776985,0,0))
t = 0.042 ; Y = ((11.9833,0,0),(-0.795821,0,0))
t = 0.043 ; Y = ((11.9825,0,0),(-0.81465,0,0))
t = 0.044 ; Y = ((11.9816,0,0),(-0.83347,0,0))
t = 0.045 ; Y = ((11.9808,0,0),(-0.852282,0,0))
t = 0.046 ; Y = ((11.9799,0,0),(-0.871086,0,0))
t = 0.047 ; Y = ((11.979,0,0),(-0.889881,0,0))
t = 0.048 ; Y = ((11.9781,0,0),(-0.908667,0,0))
t = 0.049 ; Y = ((11.9772,0,0),(-0.927444,0,0))
t = 0.05 ; Y = ((11.9763,0,0),(-0.946211,0,0))
t = 0.051 ; Y = ((11.9753,0,0),(-0.964969,0,0))
t = 0.052 ; Y = ((11.9744,0,0),(-0.983718,0,0))
t = 0.053 ; Y = ((11.9734,0,0),(-1.00246,0,0))
t = 0.054 ; Y = ((11.9724,0,0),(-1.02119,0,0))
t = 0.055 ; Y = ((11.9713,0,0),(-1.0399,0,0))
t = 0.056 ; Y = ((11.9703,0,0),(-1.05861,0,0))
t = 0.057 ; Y = ((11.9692,0,0),(-1.07731,0,0))
t = 0.058 ; Y = ((11.9681,0,0),(-1.096,0,0))
t = 0.059 ; Y = ((11.967,0,0),(-1.11467,0,0))
t = 0.06 ; Y = ((11.9659,0,0),(-1.13334,0,0))
t = 0.061 ; Y = ((11.9647,0,0),(-1.15199,0,0))
t = 0.062 ; Y = ((11.9636,0,0),(-1.17063,0,0))
t = 0.063 ; Y = ((11.9624,0,0),(-1.18926,0,0))
t = 0.064 ; Y = ((11.9612,0,0),(-1.20788,0,0))
t = 0.065 ; Y = ((11.96,0,0),(-1.22649,0,0))
t = 0.066 ; Y = ((11.9588,0,0),(-1.24508,0,0))
t = 0.067 ; Y = ((11.9575,0,0),(-1.26366,0,0))
t = 0.068 ; Y = ((11.9562,0,0),(-1.28223,0,0))
t = 0.069 ; Y = ((11.9549,0,0),(-1.30078,0,0))
t = 0.07 ; Y = ((11.9536,0,0),(-1.31933,0,0))
t = 0.071 ; Y = ((11.9523,0,0),(-1.33786,0,0))
t = 0.072 ; Y = ((11.951,0,0),(-1.35637,0,0))
t = 0.073 ; Y = ((11.9496,0,0),(-1.37488,0,0))
t = 0.074 ; Y = ((11.9482,0,0),(-1.39337,0,0))
t = 0.075 ; Y = ((11.9468,0,0),(-1.41184,0,0))
t = 0.076 ; Y = ((11.9454,0,0),(-1.4303,0,0))
t = 0.077 ; Y = ((11.9439,0,0),(-1.44875,0,0))
t = 0.078 ; Y = ((11.9425,0,0),(-1.46718,0,0))
t = 0.079 ; Y = ((11.941,0,0),(-1.4856,0,0))
t = 0.08 ; Y = ((11.9395,0,0),(-1.504,0,0))
t = 0.081 ; Y = ((11.938,0,0),(-1.52239,0,0))
t = 0.082 ; Y = ((11.9365,0,0),(-1.54076,0,0))
t = 0.083 ; Y = ((11.9349,0,0),(-1.55912,0,0))
t = 0.084 ; Y = ((11.9333,0,0),(-1.57746,0,0))
t = 0.085 ; Y = ((11.9318,0,0),(-1.59578,0,0))
t = 0.086 ; Y = ((11.9302,0,0),(-1.61409,0,0))
t = 0.087 ; Y = ((11.9285,0,0),(-1.63239,0,0))
t = 0.088 ; Y = ((11.9269,0,0),(-1.65066,0,0))
t = 0.089 ; Y = ((11.9252,0,0),(-1.66892,0,0))
t = 0.09 ; Y = ((11.9236,0,0),(-1.68717,0,0))
t = 0.091 ; Y = ((11.9219,0,0),(-1.7054,0,0))
t = 0.092 ; Y = ((11.9201,0,0),(-1.72361,0,0))
t = 0.093 ; Y = ((11.9184,0,0),(-1.7418,0,0))
t = 0.094 ; Y = ((11.9167,0,0),(-1.75997,0,0))
t = 0.095 ; Y = ((11.9149,0,0),(-1.77813,0,0))
t = 0.096 ; Y = ((11.9131,0,0),(-1.79627,0,0))
t = 0.097 ; Y = ((11.9113,0,0),(-1.81439,0,0))
t = 0.098 ; Y = ((11.9095,0,0),(-1.8325,0,0))
t = 0.099 ; Y = ((11.9076,0,0),(-1.85058,0,0))
t = 0.1 ; Y = ((11.9058,0,0),(-1.86865,0,0))
t = 0.101 ; Y = ((11.9039,0,0),(-1.8867,0,0))
t = 0.102 ; Y = ((11.902,0,0),(-1.90473,0,0))
t = 0.103 ; Y = ((11.9001,0,0),(-1.92274,0,0))
t = 0.104 ; Y = ((11.8982,0,0),(-1.94073,0,0))
t = 0.105 ; Y = ((11.8962,0,0),(-1.9587,0,0))
t = 0.106 ; Y = ((11.8942,0,0),(-1.97665,0,0))
t = 0.107 ; Y = ((11.8923,0,0),(-1.99459,0,0))
t = 0.108 ; Y = ((11.8902,0,0),(-2.0125,0,0))
t = 0.109 ; Y = ((11.8882,0,0),(-2.03039,0,0))
t = 0.11 ; Y = ((11.8862,0,0),(-2.04826,0,0))
t = 0.111 ; Y = ((11.8841,0,0),(-2.06611,0,0))
t = 0.112 ; Y = ((11.8821,0,0),(-2.08395,0,0))
t = 0.113 ; Y = ((11.88,0,0),(-2.10176,0,0))
t = 0.114 ; Y = ((11.8779,0,0),(-2.11954,0,0))
t = 0.115 ; Y = ((11.8757,0,0),(-2.13731,0,0))
t = 0.116 ; Y = ((11.8736,0,0),(-2.15506,0,0))
t = 0.117 ; Y = ((11.8714,0,0),(-2.17278,0,0))
t = 0.118 ; Y = ((11.8692,0,0),(-2.19049,0,0))
t = 0.119 ; Y = ((11.867,0,0),(-2.20817,0,0))
t = 0.12 ; Y = ((11.8648,0,0),(-2.22583,0,0))
t = 0.121 ; Y = ((11.8626,0,0),(-2.24346,0,0))
t = 0.122 ; Y = ((11.8603,0,0),(-2.26108,0,0))
t = 0.123 ; Y = ((11.8581,0,0),(-2.27867,0,0))
t = 0.124 ; Y = ((11.8558,0,0),(-2.29624,0,0))
t = 0.125 ; Y = ((11.8535,0,0),(-2.31379,0,0))
t = 0.126 ; Y = ((11.8511,0,0),(-2.33131,0,0))
t = 0.127 ; Y = ((11.8488,0,0),(-2.34881,0,0))
t = 0.128 ; Y = ((11.8464,0,0),(-2.36629,0,0))
t = 0.129 ; Y = ((11.8441,0,0),(-2.38374,0,0))
t = 0.13 ; Y = ((11.8417,0,0),(-2.40117,0,0))
t = 0.131 ; Y = ((11.8393,0,0),(-2.41857,0,0))
t = 0.132 ; Y = ((11.8368,0,0),(-2.43595,0,0))
t = 0.133 ; Y = ((11.8344,0,0),(-2.45331,0,0))
t = 0.134 ; Y = ((11.8319,0,0),(-2.47064,0,0))
t = 0.135 ; Y = ((11.8295,0,0),(-2.48795,0,0))
